0,1,2,3
Let It Be,The Beatles,1970,pop
In the Summertime,Mungo Jerry,1970,pop
Venus,Shocking Blue,1970,pop
Bridge Over Troubled Water,Simon & Garfunkel,1970,pop
Spirit in the Sky,Norman Greenbaum,1970,pop
Whole Lotta Love,Led Zeppelin,1970,pop
Lola,The Kinks,1970,pop
Up Around the Bend,Creedence Clearwater Revival,1970,pop
Raindrops Keep Falling On My Head,B J Thomas,1970,pop
(They Long to Be) Close to You,The Carpenters,1970,pop
Instant Karma,John Lennon,1970,pop
Cracklin' Rosie,Neil Diamond,1970,pop
Yellow River,Christie,1970,pop
Lookin' Out My Back Door,Creedence Clearwater Revival,1970,pop
I Want You Back,The Jackson 5,1970,pop
El Condor Pasa (If I Could),Simon & Garfunkel,1970,pop
I Think I Love You,The Partridge Family,1970,pop
American Woman,Guess Who,1970,pop
The Long & Winding Road,The Beatles,1970,pop
I'll Be There,The Jackson 5,1970,pop
Travellin' Band,Creedence Clearwater Revival,1970,pop
Paranoid,Black Sabbath,1970,pop
War,Edwin Starr,1970,pop
Band of Gold,Freda Payne,1970,pop
All Right Now,Free,1970,pop
House of the Rising Sun,Frijid Pink,1970,pop
A Song Of Joy,Miguel Rios,1970,pop
Na Na Hey Hey (Kiss Him Goodbye),Steam,1970,pop
Tears of a Clown,Smokey Robinson,1970,pop
Love Grows (Where My Rosemary Goes),Edison Lighthouse,1970,pop
We've Only Just Begun,The Carpenters,1970,pop
ABC,The Jackson 5,1970,pop
Mama Told Me Not to Come,Three Dog Night,1970,pop
Fire & Rain,James Taylor,1970,pop
Cecilia,Simon & Garfunkel,1970,pop
Who'll Stop the Rain,Creedence Clearwater Revival,1970,pop
Ma belle amie,Tee Set,1970,pop
Everything is Beautiful,Ray Stevens,1970,pop
Black Magic Woman,Santana,1970,pop
Black Night,Deep Purple,1970,pop
Question,The Moody Blues,1970,pop
(Hey There) Lonely Girl,Eddie Holman,1970,pop
Which Way You Goin' Billy?,Poppy Family,1970,pop
Spill the Wine,Eric Burdon & War,1970,pop
Don't Cry Daddy,Elvis Presley,1970,pop
Mademoiselle Ninette,Soulful Dynamics,1970,pop
Candida,Dawn,1970,pop
Get Ready,Rare Earth,1970,pop
Ball of Confusion (That's What the World is Today),The Temptations,1970,pop
Patches,Clarence Carter,1970,pop
All Kinds of Everything,Dana,1970,pop
Neanderthal Man,10CC,1970,pop
The Love You Save,The Jackson 5,1970,pop
Make it With You,Bread,1970,pop
The Wonder of You,Elvis Presley,1970,pop
25 Or 6 to 4,Chicago,1970,pop
Thank You (Falettinme be Mice Elf Again),Sly & The Family Stone,1970,pop
Never Marry a Railroad Man,Shocking Blue,1970,pop
It's Five O'clock,Aphrodite's Child,1970,pop
Daughter of Darkness,Tom Jones,1970,pop
Come & Get It,Badfinger,1970,pop
Get Up (I Feel Like Being A) Sex Machine,James Brown,1970,pop
No Matter What,Badfinger,1970,pop
Reflections of My Life,Marmalade,1970,pop
Lay Down (Candles in The Rain),Melanie,1970,pop
Ain't No Mountain High Enough,Diana Ross,1970,pop
Lady D'Arbanville,Cat Stevens,1970,pop
Without Love (There Is Nothing),Tom Jones,1970,pop
Green-eyed Lady,Sugarloaf,1970,pop
Vehicle,Ides of March,1970,pop
Jingle Jangle,Archies,1970,pop
"Signed, Sealed, Delivered, I'm Yours",Stevie Wonder,1970,pop
Gypsy Woman,Brian Hyland,1970,pop
Give Me Just a Little More Time,Chairman of The Board,1970,pop
One Less Bell To Answer,Fifth Dimension,1970,pop
Rainy Night in Georgia,Brook Benton,1970,pop
Ohio,"Crosby, Stills, Nash & Young",1970,pop
Gimme Dat Ding,Pipkins,1970,pop
Sympathy,Rare Bird,1970,pop
Are You Ready?,Pacific Gas & Electric,1970,pop
Cottonfields,The Beach Boys,1970,pop
Long As I Can See the Light,Creedence Clearwater Revival,1970,pop
Montego Bay,Bobby Bloom,1970,pop
Big Yellow Taxi,Joni Mitchell,1970,pop
Comme j'ai toujours envie d'aimer,Marc Hamilton,1970,pop
Woodstock,"Crosby, Stills, Nash & Young",1970,pop
Didn't I (Blow Your Mind This Time),The Delfonics,1970,pop
Knock Knock Who's There?,Mary Hopkin,1970,pop
"See Me, Feel Me",The Who,1970,pop
My Baby Loves Lovin',White Plains,1970,pop
The Letter,Joe Cocker,1970,pop
The Rapper,Jaggerz,1970,pop
O-o-h Child,Five Stairsteps,1970,pop
I'm a Man,Chicago,1970,pop
Psychedelic Shack,The Temptations,1970,pop
Look What They Done To My Song Ma,The New Seekers,1970,pop
Indiana Wants Me,R Dean Taylor,1970,pop
Voodoo Chile,Jimi Hendrix,1970,pop
Stoned Love,The Supremes,1970,pop
Julie Do Ya Love Me,Bobby Sherman,1970,pop
Who'll Stop the Rain,Creedence Clearwater Revival,1970,rock
Instant Karma (We All Shine On),John Lennon,1970,rock
My Sweet Lord,George Harrison,1970,rock
Let It Be,The Beatles,1970,rock
Domino,Van Morrison,1970,rock
If I Were Your Woman,Gladys Knight & The Pips,1970,rock
The Wonder of You,Elvis Presley,1970,rock
