0,1,2,3
Foolish,Ashanti,2002,hiphop
U Don't Have To Call,Usher,2002,hiphop
halfcrazy,Musiq,2002,hiphop
Hot In Herre,Nelly,2002,hiphop
Anything,Jaheim Featuring Next,2002,hiphop
Dilemma,Nelly Featuring Kelly Rowland,2002,hiphop
Always On Time,Ja Rule Featuring Ashanti,2002,hiphop
"Lights, Camera, Action!",Mr. Cheeks,2002,hiphop
Nothin',N.O.R.E.,2002,hiphop
I Love You,Faith Evans,2002,hiphop
Butterflies,Michael Jackson,2002,hiphop
Addictive,Truth Hurts Featuring Rakim,2002,hiphop
I Need A Girl (Part Two),"P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri",2002,hiphop
Oops (Oh My),Tweet,2002,hiphop
Move B***h,Ludacris Featuring Mystikal & Infamous 2.0,2002,hiphop
What's Luv?,Fat Joe Featuring Ashanti,2002,hiphop
U Got It Bad,Usher,2002,hiphop
Pass The Courvoisier Part II,Busta Rhymes Featuring P. Diddy & Pharrell,2002,hiphop
I Need A Girl (Part One),P. Diddy Featuring Usher & Loon,2002,hiphop
Still Fly,Big Tymers,2002,hiphop
Nothing In This World,KeKe Wyatt Featuring Avant,2002,hiphop
Someone To Love You,Ruff Endz,2002,hiphop
I Care 4 U,Aaliyah,2002,hiphop
Luv U Better,LL Cool J,2002,hiphop
Rock The Boat,Aaliyah,2002,hiphop
A Woman's Worth,Alicia Keys,2002,hiphop
Gangsta Lovin',Eve Featuring Alicia Keys,2002,hiphop
Don't You Forget It,Glenn Lewis,2002,hiphop
Gimme The Light,Sean Paul,2002,hiphop
Just A Friend 2002,Mario,2002,hiphop
Baby,Ashanti,2002,hiphop
More Than A Woman,Aaliyah,2002,hiphop
Ain't It Funny,Jennifer Lopez Featuring Ja Rule,2002,hiphop
Rainy Dayz,Mary J. Blige Featuring Ja Rule,2002,hiphop
Stingy,Ginuwine,2002,hiphop
Makin' Good Love,Avant,2002,hiphop
Down 4 U,"Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita",2002,hiphop
We Thuggin',Fat Joe Featuring R. Kelly,2002,hiphop
Happy,Ashanti,2002,hiphop
Work It,"Missy ""Misdemeanor"" Elliott",2002,hiphop
Good Times,Styles,2002,hiphop
Why Don't We Fall In Love,Amerie,2002,hiphop
dontchange,Musiq,2002,hiphop
Call Me,Tweet,2002,hiphop
Grindin',Clipse,2002,hiphop
